Papel   Cotacao P/L        P/VP    PSR        DY      P/Ativo    P/Cap.Giro P/EBIT     P/ACL       EV/EBIT     EV/EBITDA Mrg.Ebit    Mrg.Liq.    Liq.Corr. ROIC        ROE   Liq.2meses
BRPR3   9.61    10.35      0.66    14.130     0.0089  0.476      3.48       21.71      -3.83       24.02       24.02   0.651       1.3656      9.43    0.0252      0.0637 29545100.00
BRSR3   15.56   5.97       0.77    0.000      0.0442  0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.1298 414906.00
BRSR5   21.75   8.34       1.08    0.000      0.0337  0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.1298 5519.42
BRSR6   13.63   5.23       0.68    0.000      0.0505  0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.1298 35295800.00
BSEV3   3.39    -2.23      -3.42   0.529      0.00    0.257      -0.54      11.43      -0.39       31.56       4.34    0.0463      -0.2373     0.46    0.0265      1.5314 508040.00
BSLI3   199.90  15.75      4.12    0.000      0.0261  0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.2619 4796.33
BSLI4   92.01   7.25       1.90    0.000      0.0624  0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.2619 649.42 
BTOW3   113.60  -254.74    10.70   7.325      0.00    3.625      11.71      258.52     -50.65      259.34      75.13   0.0283      -0.0288     2.10    0.0337      -0.042 347120000.00
BTTL3   8.40    6.44       12.73   0.650      0.00    0.916      -30.37     8.50       -1.67       10.85       10.85   0.0764      0.1009      0.93    0.1261      1.9768 106405.00
CAMB3   4.35    78.87      2.83    1.052      0.00    0.838      254.71     19.70      -2.66       24.97       14.57   0.0534      0.0134      1.01    0.048       0.0359 1474570.00
CAML3   12.15   -337.83    1.74    1.892      0.0138  0.614      2.29       29.62      11.67       38.10       38.10   0.0639      -0.0056     1.62    0.0353      -0.0051 15464900.00
CARD3   13.52   14.78      2.07    1.261      0.0201  1.063      30.45      10.08      -6.73       10.92       5.35    0.1251      0.0853      1.12    0.1393      0.1399 3354020.00
CASN3   12.70   87.00      7.02    7.944      0.0033  2.455      77.36      31.90      -4.87       36.31       27.03   0.2491      0.0913      1.28    0.0824      0.0807 28.22  
CBEE3   16.11   9.63       0.73    0.454      0.00    0.240      -7.29      5.04       -0.59       13.04       7.16    0.0902      0.0472      0.89    0.0529      0.0758 13361.20
CCPR3   15.50   38.34      1.34    5.262      0.0032  0.478      3.93       10.83      -2.03       14.50       11.61   0.4858      0.2674      4.14    0.0513      0.035 3687610.00
CCRO3   13.50   30.98      3.31    2.644      0.0565  0.781      33.12      9.84       -1.48       15.06       8.50    0.2688      0.0791      1.11    0.0982      0.1069 112693000.00
CEAB3   11.05   20.62      1.26    0.652      0.0001  0.587      5.81       9.20       -3.32       13.03       5.54    0.0709      0.0316      1.40    0.0757      0.0609 36497200.00
CEBR3   63.50   8.64       1.15    0.331      0.0263  0.257      6.75       5.50       -0.98       5.93        4.39    0.0602      0.0496      1.09    0.0565      0.1334 53420.00
CEBR5   89.50   12.17      1.62    0.467      0.0439  0.363      9.51       7.75       -1.38       8.18        6.05    0.0602      0.0496      1.09    0.0565      0.1334 3472.58
CEBR6   69.99   9.52       1.27    0.365      0.0262  0.284      7.44       6.06       -1.08       6.49        4.80    0.0602      0.0496      1.09    0.0565      0.1334 15188.40
CEDO3   10.89   -1.79      0.81    0.180      0.00    0.165      -2.54      10.58      -0.41       30.12       10.45   0.017       -0.1082     0.85    0.019       -0.4561 58679.00
CEDO4   6.08    -1.00      0.45    0.100      0.00    0.092      -1.42      5.91       -0.23       25.45       8.83    0.017       -0.1082     0.85    0.019       -0.4561 70611.00
CEEB3   43.00   12.10      1.98    1.124      0.0116  0.538      11.13      6.64       -1.12       11.23       8.53    0.1692      0.0929      1.24    0.0897      0.1639 4648.67
CEEB5   40.03   11.26      1.85    1.046      0.00    0.501      10.36      6.18       -1.04       10.77       8.19    0.1692      0.0929      1.24    0.0897      0.1639 1174.51
CEED3   54.00   -0.32      -0.11   0.156      0.00    0.133      -0.13      -1.18      -0.07       -3.36       -5.06   -0.1328     -0.4889     0.20    -0.1363     0.3346 6451.29
CEED4   100.00  -0.59      -0.20   0.290      0.00    0.247      -0.24      -2.18      -0.12       -4.37       -6.57   -0.1328     -0.4889     0.20    -0.1363     0.3346 222.22 
CEPE5   28.00   -45.35     1.25    -51.237    0.0359  0.226      -6.63      -79.14     -0.45       -267.31     -424.64 0.6474      1.1298      0.90    -0.0034     -0.0277 12028.90
CEPE6   23.17   -37.53     1.04    -42.398    0.0477  0.187      -5.49      -65.49     -0.37       -253.66     -402.95 0.6474      1.1298      0.90    -0.0034     -0.0277 767.29 
CESP3   35.66   7.70       1.63    6.512      0.0519  0.913      28.01      18.07      -2.62       19.63       12.02   0.3604      0.8458      1.56    0.0539      0.2114 410258.00
CESP5   32.90   7.10       1.50    6.008      0.0562  0.842      25.84      16.67      -2.42       18.23       11.17   0.3604      0.8458      1.56    0.0539      0.2114 16450.30
CESP6   29.94   6.46       1.37    5.468      0.0618  0.766      23.52      15.17      -2.20       16.73       10.25   0.3604      0.8458      1.56    0.0539      0.2114 66693300.00
CGAS3   189.94  18.75      27.27   2.849      0.1427  2.239      22.25      11.88      -4.84       14.21       12.23   0.2398      0.1519      1.28    0.277       1.4548 17772.60
CGAS5   189.75  18.73      27.25   2.846      0.1511  2.237      22.22      11.87      -4.84       14.20       12.22   0.2398      0.1519      1.28    0.277       1.4548 663084.00
CGRA3   26.09   4.04       0.86    1.171      0.0671  0.619      2.62       13.62      4.69        10.63       5.68    0.086       0.2902      2.32    0.0567      0.214 53345.20
CGRA4   26.56   4.11       0.88    1.193      0.066   0.630      2.67       13.87      4.77        10.88       5.81    0.086       0.2902      2.32    0.0567      0.214 234324.00
CIEL3   4.95    19.33      1.47    1.248      0.0157  0.183      2.11       11.87      -3.62       13.60       6.77    0.1051      0.0645      1.12    0.0775      0.0761 360659000.00
CLSC3   54.00   5.64       1.29    0.255      0.0324  0.205      3.38       4.68       -0.42       7.26        4.75    0.0544      0.0451      1.21    0.0526      0.229 3851.42
CLSC4   54.75   5.72       1.31    0.258      0.0352  0.208      3.42       4.75       -0.43       7.32        4.79    0.0544      0.0451      1.21    0.0526      0.229 2443380.00
CMIG3   10.66   13.47      0.96    0.662      0.0472  0.308      3.17       4.63       -0.75       8.16        6.39    0.1431      0.0492      1.56    0.0743      0.0713 23016100.00
CMIG4   10.40   13.14      0.94    0.646      0.0484  0.301      3.09       4.51       -0.73       8.04        6.30    0.1431      0.0492      1.56    0.0743      0.0713 111435000.00
CNTO3   29.24   32.10      3.62    2.559      0.00    1.503      5.58       -110.80    -9.92       -114.69     45.26   -0.0231     0.0795      2.64    -0.0209     0.1128 64994400.00
COCE3   70.00   14.20      1.73    0.966      0.0303  0.574      -35.50     9.71       -1.54       14.20       9.31    0.0995      0.068       0.95    0.0667      0.1221 13102.90
COCE5   63.61   12.91      1.58    0.878      0.0334  0.522      -32.26     8.82       -1.40       13.32       8.73    0.0995      0.068       0.95    0.0667      0.1221 3508120.00
COGN3   7.19    -320.37    0.74    1.980      0.0047  0.372      4.26       17.98      -1.17       30.28       12.03   0.1101      -0.0067     1.97    0.023       -0.0023 669116000.00
CPFE3   30.03   12.10      2.36    1.168      0.06    0.678      10.50      7.40       -1.75       10.69       8.16    0.1579      0.1003      1.25    0.1171      0.1948 85944900.00
CPLE3   60.81   5.10       0.86    0.951      0.0369  0.375      6.33       3.87       -1.04       5.69        4.47    0.2459      0.1894      1.43    0.1077      0.1684 25691800.00
CPLE5   60.52   5.08       0.85    0.946      0.0652  0.373      6.30       3.85       -1.03       5.67        4.46    0.2459      0.1894      1.43    0.1077      0.1684 134.49 
CPLE6   60.83   5.10       0.86    0.951      0.0406  0.375      6.34       3.87       -1.04       5.69        4.47    0.2459      0.1894      1.43    0.1077      0.1684 71424500.00
CPRE3   18.23   60.96      2.13    5.011      0.00    0.804      -70.71     13.46      -1.66       17.72       9.23    0.3722      0.0877      0.92    0.0661      0.0349 2252.40
CRDE3   21.95   -14.83     0.40    8.710      0.6584  0.311      1.06       -10.42     1.24        0.72        0.72    -0.8355     -0.664      2.61    -0.0457     -0.0271 99760.80
CRFB3   20.19   18.95      2.75    0.628      0.012   0.886      14.51      9.93       -5.31       10.73       8.42    0.0632      0.0376      1.14    0.1269      0.1452 125780000.00
CRIV3   5.50    8.09       0.58    0.000      0.0063  0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.0722 36107.30
CRIV4   6.08    8.94       0.65    0.000      0.08    0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.0722 17374.10
CRPG3   24.95   7.15       1.20    1.408      0.00    0.859      1.28       11.75      1.69        9.89        7.11    0.1198      0.1969      6.48    0.0885      0.1673 3275.98
CRPG5   20.70   5.93       0.99    1.168      0.0067  0.713      1.07       9.75       1.40        7.89        5.68    0.1198      0.1969      6.48    0.0885      0.1673 169762.00
CRPG6   21.49   6.16       1.03    1.213      0.0065  0.740      1.11       10.12      1.45        8.27        5.94    0.1198      0.1969      6.48    0.0885      0.1673 18199.00
CSAB3   45.50   0.00       0.00    0.000      0.0682  0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.00  2325.82
CSAN3   82.80   37.29      3.02    4.823      0.0181  0.984      7.00       19.57      -2.66       25.73       25.73   0.2464      0.1029      1.97    0.0595      0.0809 135119000.00
CSMG3   52.20   8.75       0.95    1.255      0.0343  0.558      6.99       5.17       -2.43       7.01        4.71    0.2429      0.1433      1.77    0.1191      0.1085 48547800.00
CSNA3   13.68   -19.69     4.57    0.788      0.0225  0.345      5.33       4.47       -0.57       11.68       8.31    0.1763      -0.025      1.29    0.0952      -0.2321 147150000.00
CSRN3   17.88   10.04      2.47    1.185      0.0092  0.672      6.72       6.70       -1.36       10.00       8.20    0.177       0.1181      1.74    0.1148      0.2456 4789.07
CSRN5   17.40   9.77       2.40    1.154      0.0104  0.654      6.54       6.52       -1.33       9.82        8.06    0.177       0.1181      1.74    0.1148      0.2456 358.00 
CSRN6   16.73   9.39       2.31    1.109      0.0108  0.629      6.29       6.27       -1.28       9.57        7.85    0.177       0.1181      1.74    0.1148      0.2456 114.31 
CTKA3   15.50   4.46       -0.37   0.275      0.00    0.247      0.87       2.64       -0.23       16.16       11.95   0.1043      0.0616      1.86    0.1126      -0.0833 55348.40
CTKA4   11.70   3.37       -0.28   0.208      0.00    0.186      0.66       1.99       -0.18       15.52       11.47   0.1043      0.0616      1.86    0.1126      -0.0833 116454.00
CTNM3   11.00   -1.39      0.37    0.184      0.00    0.079      1.32       -27.42     -0.31       -135.34     19.56   -0.0067     -0.2178     1.20    -0.0032     -0.2665 73842.00
CTNM4   5.80    -0.73      0.19    0.097      0.00    0.042      0.69       -14.46     -0.16       -122.38     17.68   -0.0067     -0.2178     1.20    -0.0032     -0.2665 225578.00
CTSA3   2.98    22.25      1.14    0.706      0.0036  0.517      3.65       7.91       -7.55       12.78       12.78   0.0892      0.0317      1.42    0.072       0.0512 213676.00
CTSA4   2.42    18.07      0.92    0.573      0.0049  0.420      2.97       6.42       -6.13       11.29       11.29   0.0892      0.0317      1.42    0.072       0.0512 118415.00
CVCB3   19.44   12.02      2.12    1.467      0.0214  0.419      1.74       4.12       -5.62       5.72        4.78    0.3563      0.1156      1.49    0.1221      0.1762 127044000.00
CYRE3   24.36   27.87      2.00    2.582      0.0533  0.893      2.88       23.06      36.00       26.18       24.45   0.112       0.1251      2.36    0.0461      0.0719 202045000.00
DASA3   67.00   -1652.79   8.02    6.718      0.0055  2.780      35.71      125.20     -7.23       136.55      45.10   0.0537      -0.0032     1.41    0.0257      -0.0049 7193.07
DIRR3   15.03   23.50      1.77    1.607      0.0333  0.477      1.26       10.32      -2.27       10.71       9.23    0.1557      0.0829      4.24    0.0571      0.0755 24934000.00
DMMO3   1.21    -0.47      -0.31   0.911      0.00    0.270      -0.66      -3.22      -0.16       -8.81       -22.50  -0.2831     -1.9413     0.29    -0.1201     0.6595 10534600.00
DMVF3   12.75   0.00       1.40    0.000      0.00    0.539      -6.25      0.00       -1.55       0.00        0.00    0.00        0.00        0.76    0.00        0.00  4000900.00
DOHL3   19.68   57.49      2.52    3.110      0.0053  2.006      5.01       175.74     7.48        169.76      62.68   0.0177      0.0541      6.68    0.013       0.0437 10486.10
DOHL4   5.22    15.25      0.67    0.825      0.0219  0.532      1.33       46.61      1.98        40.64       15.01   0.0177      0.0541      6.68    0.013       0.0437 135468.00
DTCY3   5.51    -5.92      7.10    2.630      0.00    1.404      -6.63      -15.91     -2.67       -15.70      78.56   -0.1652     -0.4445     0.57    -0.1059     -1.2008 34324.20
DTEX3   15.27   31.00      2.24    2.112      0.0245  0.963      6.09       31.62      -4.62       38.15       12.56   0.0668      0.0681      1.78    0.0382      0.0722 47446400.00
EALT3   12.98   18.45      1.74    1.078      0.0042  0.706      -240.77    14.06      -4.40       17.71       11.78   0.0767      0.0584      0.99    0.0588      0.0944 41842.40
EALT4   4.79    6.81       0.64    0.398      0.0126  0.261      -88.85     5.19       -1.62       8.83        5.88    0.0767      0.0584      0.99    0.0588      0.0944 231614.00
ECOR3   13.37   -37.86     12.14   1.879      0.00    0.652      -11.24     5.97       -0.83       11.50       7.86    0.3145      -0.0496     0.73    0.127       -0.3206 69543700.00
EEEL3   400.00  12.80      1.53    2.899      0.027   0.708      4.77       5.94       -2.50       6.24        5.92    0.488       0.2252      2.44    0.134       0.1198 5622.20
EEEL4   400.00  12.80      1.53    2.899      0.0297  0.708      4.77       5.94       -2.50       6.24        5.92    0.488       0.2252      2.44    0.134       0.1198 5333.18
EGIE3   43.79   13.55      4.81    3.380      0.0539  1.110      13.80      8.86       -2.15       11.88       9.64    0.3815      0.2496      1.47    0.1506      0.3549 87280900.00
EKTR3   19.90   7.78       1.35    0.584      0.00    0.436      18.72      3.70       -1.27       7.22        5.96    0.158       0.0751      1.07    0.1386      0.1735 44.22  
EKTR4   20.50   8.01       1.39    0.602      0.00    0.449      19.28      3.81       -1.31       7.34        6.05    0.158       0.0751      1.07    0.1386      0.1735 6006.22
ELEK3   19.11   24.46      2.66    0.619      0.0225  1.067      3.75       52.11      -110.34     65.77       26.15   0.0119      0.0253      1.94    0.0252      0.1087 1565.40
ELEK4   26.00   33.27      3.62    0.842      0.0165  1.452      5.10       70.89      -150.12     84.56       33.61   0.0119      0.0253      1.94    0.0252      0.1087 10396.50
ELET3   34.08   6.21       0.71    1.636      0.0476  0.290      2.54       3.98       -0.89       6.53        5.73    0.4106      0.2674      1.80    0.082       0.1136 203924000.00
ELET5   37.50   6.83       0.78    1.800      0.00    0.320      2.79       4.38       -0.98       6.93        6.08    0.4106      0.2674      1.80    0.082       0.1136 4448.22
ELET6   35.64   6.49       0.74    1.711      0.0501  0.304      2.66       4.17       -0.93       6.71        5.89    0.4106      0.2674      1.80    0.082       0.1136 112069000.00
EMAE4   29.29   12.40      1.06    2.491      0.0268  0.689      1.91       33.94      8.18        21.08       17.76   0.0734      0.2009      5.85    0.0294      0.0857 141634.00
EMBR3   7.68    -1.37      0.36    0.507      0.00    0.101      0.33       32.53      -0.82       88.95       9.87    0.0156      -0.3661     2.07    0.0042      -0.2625 105284000.00
ENAT3   11.59   8.84       1.06    2.455      0.0986  0.668      2.22       9.69       13.35       5.39        1.97    0.2535      0.2779      3.55    0.1103      0.1198 20768000.00
ENBR3   17.59   8.13       1.14    0.687      0.0332  0.393      6.66       4.42       -1.11       6.90        5.46    0.1554      0.0926      1.29    0.1053      0.1405 42709700.00
ENEV3   49.20   21.56      2.15    4.532      0.00    1.024      10.43      15.82      -3.24       20.25       13.36   0.2864      0.2098      1.90    0.0797      0.0997 73993700.00
ENGI11  45.00   19.41      2.67    0.832      0.0071  0.388      24.81      7.30       -0.68       14.12       9.22    0.1141      0.0459      1.06    0.0612      0.1374 80965000.00
ENGI3   13.00   28.04      3.85    1.202      0.0049  0.561      35.84      10.54      -0.99       17.36       11.34   0.1141      0.0459      1.06    0.0612      0.1374 133807.00
ENGI4   8.07    17.41      2.39    0.746      0.0079  0.348      22.25      6.54       -0.61       13.37       8.73    0.1141      0.0459      1.06    0.0612      0.1374 190429.00
ENMT3   30.00   14.30      2.81    1.355      0.0231  0.755      12.71      8.85       -1.96       13.21       10.30   0.1531      0.0948      1.21    0.1034      0.1969 7027.07
ENMT4   30.00   14.30      2.81    1.355      0.001   0.755      12.71      8.85       -1.96       13.21       10.30   0.1531      0.0948      1.21    0.1034      0.1969 16802.90
EQPA3   3.44    13.14      2.26    1.360      0.0233  0.662      2.88       5.85       -1.97       7.50        6.00    0.2324      0.1035      2.61    0.1431      0.1723 203430.00
EQPA5   6.12    23.38      4.03    2.420      0.0196  1.177      5.13       10.41      -3.51       12.06       9.65    0.2324      0.1035      2.61    0.1431      0.1723 5660.13
EQPA6   10.68   40.81      7.03    4.223      0.0075  2.054      8.96       18.17      -6.12       19.82       15.87   0.2324      0.1035      2.61    0.1431      0.1723 23.73  
EQPA7   5.76    22.01      3.79    2.277      0.026   1.108      4.83       9.80       -3.30       11.45       9.16    0.2324      0.1035      2.61    0.1431      0.1723 9465.91
EQTL3   24.01   8.96       2.70    1.294      0.0133  0.599      4.91       4.53       -1.41       6.69        5.91    0.2858      0.162       1.65    0.1629      0.3013 165207000.00
ESTR4   26.00   -0.65      -0.04   0.197      0.00    0.100      -0.05      -2.28      -0.03       -6.61       -11.06  -0.0864     -0.3023     0.16    -0.0496     0.0665 5507.49
ETER3   4.98    6.41       6.20    0.514      0.00    0.436      7.65       -8.10      -0.91       -10.05      -26.63  -0.0635     0.08        1.15    -0.0648     0.9665 5287950.00
EUCA3   23.00   32.43      1.61    1.396      0.00    0.927      24.59      14.01      -7.42       16.73       8.90    0.0997      0.043       1.14    0.0719      0.0495 350400.00
EUCA4   6.53    9.21       0.46    0.396      0.00    0.263      6.98       3.98       -2.11       6.70        3.56    0.0997      0.043       1.14    0.0719      0.0495 675469.00
EVEN3   13.59   26.13      1.69    1.780      0.0107  0.598      1.16       19.52      3.40        21.64       20.81   0.0912      0.0851      3.02    0.0373      0.0645 42155900.00
EZTC3   38.54   27.81      2.24    9.732      0.0076  1.985      4.87       42.97      5.15        36.61       34.49   0.2264      0.3633      6.15    0.0663      0.0805 118139000.00
FESA3   24.35   13.09      1.25    1.562      0.0291  0.733      5.97       13.94      -6.68       16.04       7.20    0.1121      0.1196      1.68    0.0596      0.0958 3029.22
FESA4   17.30   9.30       0.89    1.110      0.0451  0.521      4.24       9.90       -4.74       12.00       5.39    0.1121      0.1196      1.68    0.0596      0.0958 5541070.00
FHER3   2.94    0.29       -0.91   0.110      0.00    0.102      0.85       -1.96      -0.16       -3.42       -5.39   -0.0565     0.3767      1.35    -0.0647     -3.1092 585872.00
FLRY3   24.76   59.28      5.07    2.971      0.0297  1.454      10.84      24.42      -3.67       27.02       13.45   0.1217      0.0501      1.73    0.0774      0.0856 60712600.00
FRAS3   5.46    42.80      1.42    0.896      0.0132  0.600      1.87       11.83      -10.16      14.13       7.88    0.0758      0.0145      2.66    0.0687      0.0332 526514.00
FRIO3   90.00   -4.03      -18.30  0.247      0.00    0.204      40.83      5.11       -0.85       15.39       9.23    0.0483      -0.0516     1.01    0.0771      4.5433 25496.90
FRTA3   4.70    14.12      -0.14   0.892      0.00    0.267      -0.12      -3.70      -0.10       -28.58      -41.42  -0.2412     0.0632      0.07    -0.0849     -0.0099 30609.30
GBIO33  10.35   -14.90     1.32    1.510      0.00    0.787      7.54       13.47      17.49       16.00       16.00   0.1121      -0.1014     1.31    0.0712      -0.0883 6240580.00
GEPA3   41.26   13.70      2.21    2.748      0.0804  0.861      -14.58     7.44       -3.01       7.48        5.27    0.3695      0.2006      0.85    0.2401      0.1616 63264.70
GEPA4   48.10   15.97      2.58    3.203      0.0689  1.003      -17.00     8.67       -3.51       8.71        6.14    0.3695      0.2006      0.85    0.2401      0.1616 27791.50
GFSA3   5.45    -290.40    0.91    2.954      0.00    0.378      1.20       27.45      2.59        30.11       24.09   0.1076      -0.0115     1.76    0.0183      -0.0031 52099800.00
GGBR3   15.15   28.41      0.87    0.696      0.0046  0.416      2.25       14.10      -2.46       21.91       9.98    0.0493      0.0248      2.14    0.0354      0.0305 1919150.00
GGBR4   17.99   33.73      1.03    0.826      0.0039  0.494      2.67       16.75      -2.93       24.56       11.18   0.0493      0.0248      2.14    0.0354      0.0305 269442000.00
GNDI3   66.84   65.60      5.96    4.186      0.0025  2.821      68.01      31.31      -10.25      31.27       25.36   0.1337      0.0638      1.20    0.1059      0.0908 232306000.00
GOAU3   7.34    24.10      0.72    0.213      0.0054  0.127      0.69       4.34       -0.76       12.18       5.53    0.0491      0.0246      2.15    0.0352      0.0297 864473.00
GOAU4   8.31    27.29      0.81    0.241      0.0048  0.144      0.78       4.91       -0.86       12.76       5.79    0.0491      0.0246      2.15    0.0352      0.0297 115785000.00
GOLL4   18.68   -1.59      -0.51   0.603      0.00    0.450      -0.79      8.85       -0.29       20.95       5.88    0.0682      -0.3624     0.32    0.0659      0.3211 245938000.00
GPCP3   51.99   11.56      1.72    0.384      0.0059  0.377      6.35       6.20       -0.98       9.38        6.77    0.0619      0.035       1.19    0.0672      0.1488 1218780.00
GPIV33  4.70    -2.17      0.40    -1.727     0.00    0.185      0.64       -0.98      1.80        0.58        0.58    1.7653      2.1512      11.14   -0.2714     -0.1851 852718.00
GRND3   7.71    19.20      1.95    4.148      0.0321  1.783      3.59       25.37      3.77        21.51       15.97   0.1635      0.2161      8.69    0.1051      0.1018 12479700.00
GSHP3   48.60   -0.19      -0.19   0.881      0.00    0.054      0.70       5.83       -0.05       99.74       86.86   0.1512      -4.592      1.47    0.011       1.0157 51838.20
GUAR3   17.80   53.96      1.81    1.300      0.0285  0.735      5.08       137.61     -21.82      162.61      18.31   0.0094      0.0241      1.35    0.0067      0.0336 25301900.00
HAGA3   3.06    10.03      -0.47   1.678      0.00    0.648      1.72       -31.93     -0.42       -33.25      70.69   -0.0526     0.1674      1.86    -0.0633     -0.0469 157660.00
HAGA4   1.82    5.96       -0.28   0.998      0.00    0.385      1.02       -18.99     -0.25       -20.30      43.18   -0.0526     0.1674      1.86    -0.0633     -0.0469 739803.00
HAPV3   64.12   55.10      6.18    6.565      0.0027  3.596      40.74      37.70      -21.05      37.48       27.56   0.1742      0.1194      1.55    0.1174      0.1122 125187000.00
HBOR3   13.71   -29.23     1.49    1.580      0.00    0.413      0.83       -51.03     5.56        -76.80      -96.71  -0.031      -0.0552     3.24    -0.0095     -0.0509 69426100.00
HBTS5   25.00   -3.47      0.98    9.557      0.002   0.184      -1.62      -3.72      -0.28       -5.73       -5.86   -2.5693     -2.7476     0.56    -0.0501     -0.2816 100165.00
HETA4   8.35    1.19       -0.01   3.640      0.00    0.420      -0.11      4.86       -0.01       375.39      375.39  0.7487      3.065       0.01    0.0875      -0.0094 88757.60
HGTX3   16.43   10.30      1.78    2.214      0.0275  1.295      3.28       35.28      3.52        31.91       14.56   0.0628      0.2149      2.60    0.053       0.173 53455600.00
HOOT4   2.66    -0.31      -0.13   0.548      0.00    0.100      -0.09      -0.40      -0.06       -0.37       -0.40   -1.3833     -1.7616     0.05    -0.2602     0.4064 32079.50
HYPE3   33.50   18.57      2.34    5.569      0.0342  1.354      3.51       24.53      14.12       24.10       21.13   0.227       0.2999      3.93    0.0844      0.126 141348000.00
IDVL3   2.63    -1.81      0.79    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        -0.4375 289856.00
IDVL4   2.70    -1.85      0.81    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        -0.4375 48311.40
IGBR3   3.48    -37.35     -0.05   17.442     0.00    0.175      -0.49      -26.81     -0.04       -611.10     -611.10 -0.6505     -0.4669     0.03    -0.0071     0.0013 465084.00
IGTA3   34.77   24.05      2.02    8.679      0.012   0.983      7.52       17.02      -3.39       21.69       15.64   0.5101      0.3639      2.44    0.0709      0.084 77854000.00
INEP3   5.77    -0.10      -0.02   3.602      0.00    0.034      -0.02      -0.14      -0.01       -2.16       -2.24   -24.8673    -34.3224    0.12    -0.253      0.2302 22344.70
INEP4   5.90    -0.10      -0.02   3.683      0.00    0.034      -0.03      -0.15      -0.02       -2.16       -2.24   -24.8673    -34.3224    0.12    -0.253      0.2302 56021.50
IRBR3   7.77    0.00       0.00    0.000      0.0608  0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.00  494496000.00
ITSA3   11.73   14.09      1.87    19.724     0.0451  1.499      25.14      557.40     -31.58      563.95      115.53  0.0354      1.4426      2.36    0.0029      0.1324 2602470.00
ITSA4   9.93    11.93      1.58    16.697     0.0533  1.269      21.28      471.86     -26.73      478.42      98.01   0.0354      1.4426      2.36    0.0029      0.1324 310255000.00
ITUB3   23.40   11.52      1.81    0.000      0.0523  0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.1576 19102600.00
ITUB4   24.73   12.17      1.92    0.000      0.0495  0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.1576 1021060000.00
JBDU3   2.49    -2.88      0.18    0.000      0.00    0.065      0.00       -3.67      0.00        -5.02       -5.02   0.00        0.00        0.00    0.00        -0.0642 30091.80
JBDU4   1.44    -1.66      0.11    0.000      0.00    0.038      0.00       -2.12      0.00        -3.47       -3.47   0.00        0.00        0.00    0.00        -0.0642 82882.20
JBSS3   23.30   266.74     1.77    0.272      0.0232  0.392      2.29       3.40       -1.06       6.32        4.61    0.08        0.0018      1.80    0.1557      0.0066 364405000.00
JFEN3   4.33    -1.12      1.36    4.612      0.00    0.260      0.94       -3.09      -5.65       -7.18       -7.25   -1.4916     -4.331      1.52    -0.0878     -1.209 219538.00
JHSF3   8.46    9.99       1.79    7.329      0.0076  0.912      9.25       18.11      -2.87       20.40       18.84   0.4046      0.731       2.44    0.0552      0.1789 117458000.00
JOPA3   27.00   10.53      0.55    0.221      0.0106  0.148      0.54       3.21       18.45       9.90        8.38    0.0687      0.027       1.73    0.0594      0.0523 920.04 
JOPA4   28.00   10.92      0.57    0.229      0.0113  0.154      0.56       3.33       19.13       10.02       8.48    0.0687      0.027       1.73    0.0594      0.0523 1803.40
JPSA3   25.00   21.90      1.42    3.101      0.0046  0.345      2.71       6.51       -1.16       11.69       8.27    0.476       0.3221      2.35    0.0651      0.0647 6350660.00
JSLG3   30.38   26.33      4.50    0.655      0.008   0.279      0.87       7.36       -0.73       17.75       7.99    0.089       0.0267      2.69    0.0676      0.1709 32557600.00
KEPL3   43.61   18.82      2.34    2.085      0.0091  1.575      8.30       22.03      11.03       20.63       13.20   0.0946      0.1108      1.68    0.0929      0.1241 5415040.00
KLBN11  25.15   -9.96      10.01   2.599      0.019   0.750      2.34       12.15      -1.44       21.21       10.21   0.2138      -0.2502     5.65    0.0881      -1.0049 142198000.00
KLBN3   5.19    -10.28     10.33   2.681      0.0184  0.774      2.41       12.54      -1.49       21.60       10.40   0.2138      -0.2502     5.65    0.0881      -1.0049 1447390.00
KLBN4   4.99    -9.88      9.93    2.578      0.0192  0.744      2.32       12.06      -1.43       21.12       10.16   0.2138      -0.2502     5.65    0.0881      -1.0049 7382670.00
LAME3   28.90   91.68      9.99    2.736      0.0054  1.536      5.44       25.23      -7.65       28.82       17.11   0.1084      0.0252      1.93    0.1245      0.1089 72596500.00
LAME4   34.24   108.62     11.83   3.242      0.0046  1.819      6.45       29.89      -9.06       33.48       19.88   0.1084      0.0252      1.93    0.1245      0.1089 412091000.00
