Papel   Cotacao P/L        P/VP    PSR        DY      P/Ativo    P/Cap.Giro P/EBIT     P/ACL       EV/EBIT     EV/EBITDA Mrg.Ebit    Mrg.Liq.    Liq.Corr. ROIC        ROE   Liq.2meses
TAEE4   9.85    7.61       1.88    4.119      0.0542  0.752      3.84       7.17       -2.38       10.91       10.80   0.5748      0.5412      3.23    0.1188      0.247 1039200.00
TASA3   5.30    -3.83      -1.27   0.379      0.00    0.382      4.02       2.86       -0.60       7.77        6.94    0.1324      -0.0989     1.17    0.1605      0.3325 904334.00
TASA4   6.05    -4.38      -1.45   0.433      0.00    0.436      4.59       3.27       -0.69       8.17        7.30    0.1324      -0.0989     1.17    0.1605      0.3325 10450000.00
TCNO3   2.14    -49.02     53.66   0.000      0.00    0.061      0.00       -2.33      0.00        -7.83       -9.05   0.00        0.00        0.00    0.00        -1.0947 108398.00
TCNO4   1.49    -34.13     37.36   0.000      0.00    0.042      0.00       -1.62      0.00        -7.12       -8.24   0.00        0.00        0.00    0.00        -1.0947 149928.00
TCSA3   11.31   -3.96      0.99    2.931      0.00    0.513      3.36       -8.94      -3.97       -10.04      -10.96  -0.3278     -0.7595     1.78    -0.0674     -0.25 26838800.00
TECN3   1.08    -0.65      0.26    0.287      0.00    0.125      0.39       -2.03      3.54        -4.06       -3.14   -0.1414     -0.441      2.36    -0.076      -0.3981 1161320.00
TEKA3   25.01   -0.10      -0.01   0.087      0.00    0.013      -0.01      -1.13      -0.00       -43.49      -77.94  -0.0764     -0.8784     0.02    -0.0183     0.0798 98135.80
TEKA4   9.32    -0.04      -0.00   0.032      0.00    0.005      -0.00      -0.42      -0.00       -42.78      -76.66  -0.0764     -0.8784     0.02    -0.0183     0.0798 418564.00
TELB3   158.01  -169.45    6.68    43.493     0.00    2.510      10.93      -39.61     -7.48       -37.47      -127.71 -1.098      -0.2567     4.88    -0.0813     -0.0394 502904.00
TELB4   39.84   -42.73     1.68    10.966     0.00    0.633      2.76       -9.99      -1.89       -7.85       -26.74  -1.098      -0.2567     4.88    -0.0813     -0.0394 3094000.00
TEND3   31.88   16.74      2.36    1.669      0.0163  0.804      1.63       10.46      9.33        9.87        8.91    0.1595      0.0996      2.94    0.1247      0.1412 37889300.00
TESA3   17.21   -3.00      0.48    0.317      0.00    0.153      -14.54     2.14       -0.38       7.65        5.60    0.148       -0.1059     0.96    0.0814      -0.1616 1129230.00
TGMA3   24.51   10.80      2.74    1.433      0.0466  1.550      6.71       12.21      28.88       12.50       10.51   0.1174      0.1327      1.90    0.179       0.2538 16737400.00
TIET11  14.38   14.46      3.69    2.837      0.082   0.677      -62.12     7.01       -1.29       10.29       7.41    0.4048      0.1963      0.96    0.159       0.255 41700100.00
TIET3   2.91    14.63      3.73    2.871      0.081   0.685      -62.86     7.09       -1.31       10.37       7.47    0.4048      0.1963      0.96    0.159       0.255 1271500.00
TIET4   2.88    14.48      3.69    2.841      0.0819  0.678      -62.21     7.02       -1.30       10.30       7.42    0.4048      0.1963      0.96    0.159       0.255 4762580.00
TIMP3   15.24   19.40      1.61    2.154      0.017   0.926      17.40      11.08      -4.28       11.01       4.27    0.1944      0.1111      1.34    0.0967      0.0833 174090000.00
TKNO4   39.08   10.79      0.63    0.725      0.0092  0.503      1.28       13.47      1.45        10.54       6.06    0.0538      0.0672      3.45    0.0488      0.0587 614.40 
TOTS3   27.77   61.68      6.38    6.734      0.0068  3.110      22.36      17.07      83.64       16.10       13.71   0.3945      0.1095      1.34    0.2666      0.1034 130701000.00
TPIS3   1.26    -4.13      0.32    0.218      0.00    0.061      -0.28      -36.93     -0.08       -335.16     5.14    -0.0059     -0.0743     0.24    -0.0017     -0.0764 1053130.00
TRIS3   12.68   15.47      2.14    2.940      0.0338  1.207      2.53       14.67      4.19        14.84       14.73   0.2005      0.2046      3.15    0.1046      0.1384 27466000.00
TRPL3   26.57   7.88       1.35    4.447      0.05    0.780      5.59       6.46       -4.22       7.29        7.24    0.6888      0.571       2.71    0.1329      0.1716 108618.00
TRPL4   22.04   6.54       1.12    3.689      0.0603  0.647      4.64       5.36       -3.50       6.18        6.14    0.6888      0.571       2.71    0.1329      0.1716 35937600.00
TUPY3   17.09   -16.29     1.04    0.585      0.00    0.408      1.44       10.42      -4.58       15.57       6.37    0.0561      -0.0359     2.20    0.0535      -0.0638 16619200.00
TXRX3   143.89  22.86      -2.06   16.085     0.00    3.275      -2.30      107.63     -1.45       144.36      144.36  0.1494      0.7035      0.19    0.0473      -0.0901 88873.60
TXRX4   8.66    1.38       -0.12   0.968      0.00    0.197      -0.14      6.48       -0.09       43.21       43.21   0.1494      0.7035      0.19    0.0473      -0.0901 769726.00
UCAS3   4.28    25.44      1.76    2.027      0.1462  1.368      4.02       33.44      4.63        29.25       14.35   0.0606      0.0797      2.91    0.0506      0.0693 799378.00
UGPA3   18.78   89.80      2.30    0.249      0.0234  0.614      2.28       13.09      -2.34       20.94       12.00   0.019       0.0031      2.41    0.0651      0.0256 124238000.00
UNIP3   32.21   89.63      2.20    1.004      0.0125  0.750      7.31       9.93       -2.60       9.95        6.09    0.1011      0.0132      1.38    0.1001      0.0245 719045.00
UNIP5   27.79   77.33      1.90    0.867      0.0263  0.647      6.31       8.57       -2.25       8.58        5.26    0.1011      0.0132      1.38    0.1001      0.0245 28183.40
UNIP6   27.16   75.58      1.85    0.847      0.0163  0.632      6.16       8.38       -2.20       8.39        5.14    0.1011      0.0132      1.38    0.1001      0.0245 4290690.00
USIM3   9.22    -12.72     0.85    0.828      0.0043  0.430      1.80       14.71      -5.26       19.44       8.51    0.0563      -0.0494     3.14    0.0338      -0.0669 1922340.00
USIM5   8.78    -12.11     0.81    0.788      0.0049  0.410      1.71       14.01      -5.01       18.73       8.20    0.0563      -0.0494     3.14    0.0338      -0.0669 159769000.00
USIM6   9.41    -12.98     0.87    0.845      0.0046  0.439      1.83       15.01      -5.37       19.74       8.64    0.0563      -0.0494     3.14    0.0338      -0.0669 292.38 
VALE3   61.35   50.60      1.73    2.114      0.0231  0.712      6.47       5.11       -1.98       5.67        4.53    0.4135      0.0247      1.82    0.1701      0.0343 1677300000.00
VIVA3   22.00   0.00       4.69    0.000      0.0071  2.841      6.42       0.00       10.56       0.00        0.00    0.00        0.00        3.00    0.00        0.00  35890400.00
VIVR3   1.53    -0.56      -0.60   -1.398     0.00    0.191      -0.37      -1.55      -0.21       -4.76       -4.97   0.9025      2.4755      0.44    -0.1305     1.0627 2344570.00
VIVT3   50.25   18.86      1.23    1.950      0.0538  0.768      164.83     13.23      -4.44       14.00       5.10    0.1475      0.1034      1.02    0.0664      0.0651 4957490.00
VIVT4   50.11   18.81      1.22    1.945      0.0593  0.766      164.37     13.19      -4.43       13.96       5.09    0.1475      0.1034      1.02    0.0664      0.0651 131543000.00
VLID3   10.42   -6.64      0.64    0.372      0.0672  0.246      1.80       5.59       -1.64       11.73       5.71    0.0665      -0.0573     1.42    0.058       -0.097 10798100.00
VULC3   5.65    67.70      1.35    1.297      0.00    0.926      1.95       20.48      2.93        19.84       8.92    0.0633      0.0191      4.08    0.0592      0.0199 5256290.00
VVAR3   18.60   -25.63     5.88    1.192      0.00    1.025      12.37      26.69      -3.96       29.92       16.26   0.0447      -0.0465     1.17    0.0586      -0.2296 1636360000.00
WEGE3   69.17   77.50      14.01   9.738      0.0064  8.061      23.64      57.29      42.10       57.01       48.97   0.17        0.1281      2.31    0.1781      0.1808 319890000.00
WHRL3   6.87    7.28       5.61    1.292      0.1408  1.813      11.97      23.45      24.12       20.99       15.65   0.0551      0.1775      1.25    0.1962      0.7696 133076.00
WHRL4   6.89    7.30       5.62    1.296      0.1545  1.818      12.00      23.51      24.19       21.06       15.70   0.0551      0.1775      1.25    0.1962      0.7696 480060.00
WIZS3   10.29   8.54       6.06    2.413      0.065   2.505      -56.77     4.27       -10.68      3.95        3.50    0.5655      0.2905      0.88    0.7762      0.7101 9503660.00
WLMM3   18.01   12.14      1.49    0.631      0.0178  1.134      3.91       11.98      5.62        10.35       9.71    0.0527      0.052       2.92    0.1228      0.1229 62167.00
WLMM4   18.84   12.70      1.56    0.660      0.0187  1.186      4.09       12.53      5.88        10.91       10.23   0.0527      0.052       2.92    0.1228      0.1229 67513.30
WSON33  40.00   49.15      1.24    1.748      0.0286  0.530      9.16       4.45       -1.29       7.56        7.56    0.393       0.0385      1.55    0.1378      0.0253 1312440.00
YDUQ3   31.35   16.90      2.96    2.725      0.0163  1.269      4.12       11.55      -9.42       12.68       8.87    0.2359      0.1612      3.41    0.1705      0.175 107106000.00
